timestamp,city,temperature,description
2026-07-09T11:13:08.020Z,undefined,30.11,clear sky
2026-07-09T15:18:58.555Z,undefined,30.67,clear sky
2026-07-09T17:59:54.536Z,undefined,25.69,few clouds
2026-07-09T19:59:55.562Z,undefined,24,broken clouds
2026-07-09T21:38:40.232Z,undefined,21.23,scattered clouds
2026-07-09T23:16:18.650Z,undefined,20.67,scattered clouds
2026-07-10T03:44:17.063Z,undefined,19,clear sky
2026-07-10T07:40:06.876Z,undefined,23.45,clear sky
2026-07-10T11:08:43.270Z,undefined,27.34,clear sky
2026-07-10T14:37:10.141Z,undefined,28.45,clear sky
2026-07-10T17:50:02.445Z,undefined,24.02,scattered clouds
2026-07-10T19:38:37.383Z,undefined,22.34,clear sky
2026-07-10T21:09:21.440Z,undefined,21.23,clear sky
2026-07-10T23:01:45.067Z,undefined,19.56,clear sky
2026-07-11T02:57:23.025Z,undefined,17.89,clear sky
2026-07-11T06:17:29.846Z,undefined,20.67,clear sky
2026-07-11T09:41:40.623Z,undefined,26.23,clear sky
2026-07-11T11:09:07.995Z,undefined,27.89,clear sky
2026-07-11T13:36:17.760Z,undefined,29,clear sky
2026-07-11T14:58:19.204Z,undefined,30.11,clear sky
2026-07-11T17:02:11.596Z,undefined,25.13,clear sky
2026-07-11T19:10:25.873Z,undefined,19.02,clear sky
2026-07-11T20:55:18.331Z,undefined,17.91,clear sky
2026-07-11T22:55:16.974Z,undefined,16.25,clear sky
2026-07-12T03:23:03.297Z,undefined,18.45,clear sky
2026-07-12T06:38:13.013Z,undefined,22.89,clear sky
2026-07-12T09:54:12.258Z,undefined,28.45,clear sky
2026-07-12T11:14:12.415Z,undefined,29.56,clear sky
2026-07-12T13:36:24.520Z,undefined,30.67,clear sky
2026-07-12T15:00:37.728Z,undefined,30.67,clear sky
2026-07-12T17:03:20.664Z,undefined,26.8,clear sky
2026-07-12T19:11:05.468Z,undefined,21.8,clear sky
2026-07-12T20:58:42.719Z,undefined,24,clear sky
2026-07-12T22:54:35.169Z,undefined,21.78,clear sky
2026-07-13T03:26:32.453Z,undefined,20.11,clear sky
2026-07-13T07:24:47.137Z,undefined,26.78,clear sky
2026-07-13T11:17:04.549Z,undefined,30.67,clear sky
2026-07-13T14:44:13.968Z,undefined,31.78,clear sky
2026-07-13T17:57:50.283Z,undefined,27.34,clear sky
2026-07-13T19:40:39.001Z,undefined,25.11,clear sky
2026-07-13T21:00:11.656Z,undefined,24,clear sky
2026-07-13T22:58:08.848Z,undefined,21.78,clear sky
2026-07-14T02:49:13.941Z,undefined,19,scattered clouds
2026-07-14T06:14:54.706Z,undefined,21.23,scattered clouds
2026-07-14T10:02:14.637Z,undefined,26.23,clear sky
2026-07-14T13:54:23.837Z,undefined,27.89,clear sky
2026-07-14T15:25:54.156Z,undefined,26.23,few clouds
2026-07-14T17:18:17.896Z,undefined,22.89,clear sky
2026-07-14T19:25:28.687Z,undefined,21.23,clear sky
